0;1;2;3;4;5;6
"Sarphatistraat 13-3R
1017 WS  AMSTERDAM";Woonfunctie;53m²;52.3603515;4.9024638;house;
"Sarphatistraat 13 H
1017 WS  AMSTERDAM";Kantoorfunctie;152m²;52.3603516;4.9024637;house;
"Maarten Jansz Kosterstr 20 A
1017 VZ  AMSTERDAM";Industriefunctie;255m²;52.3605209;4.9023889;house;
"Maarten Jansz Kosterstr 20 A
1017 VZ  AMSTERDAM";Industriefunctie;255m²;52.3605209;4.9023889;house;
"Amstel 344
1017 AS  AMSTERDAM";Kantoorfunctie;5108m²;52.3604963;4.9029617;yes;McKinsey & Company
"Maarten Jansz Kosterstr 14-1
1017 VX  AMSTERDAM";Woonfunctie;96m²;52.3606002;4.9019916;house;
"Maarten Jansz Kosterstr 14 H
1017 VX  AMSTERDAM";Woonfunctie;105m²;52.3606004;4.9019917;house;
"Maarten Jansz Kosterstr 15-1
1017 VZ  AMSTERDAM";Woonfunctie;79m²;52.3606185;4.9020648;house;
"Maarten Jansz Kosterstr 15 H
1017 VZ  AMSTERDAM";Woonfunctie;157m²;52.3606186;4.9020646;house;
"Maarten Jansz Kosterstr 16-2
1017 VZ  AMSTERDAM";Woonfunctie;160m²;52.3606188;4.9021529;house;
"Maarten Jansz Kosterstr 16 H
1017 VZ  AMSTERDAM";Woonfunctie;155m²;52.360619;4.9021528;house;
"Maarten Jansz Kosterstr 17
1017 VZ  AMSTERDAM";Woonfunctie;73m²;52.360637;4.9022114;house;
"Maarten Jansz Kosterstr 18
1017 VZ  AMSTERDAM";Woonfunctie;Verblijfsobject in gebruik;52.3606642;4.9022699;house;
"Maarten Jansz Kosterstr 21-1
1017 VZ  AMSTERDAM";Woonfunctie;74m²;52.3606919;4.902431;house;
"Maarten Jansz Kosterstr 21 H
1017 VZ  AMSTERDAM";Industriefunctie;34m²;52.3606919;4.9024312;house;
"Maarten Jansz Kosterstr 22-1
1017 VZ  AMSTERDAM";Woonfunctie;47m²;52.3607101;4.9025042;house;
"Maarten Jansz Kosterstr 22-2
1017 VZ  AMSTERDAM";Woonfunctie;47m²;52.3607102;4.9025044;house;
"Maarten Jansz Kosterstr 22-3
1017 VZ  AMSTERDAM";Woonfunctie;40m²;52.3607102;4.9025046;house;
"Maarten Jansz Kosterstr 23-1
1017 VZ  AMSTERDAM";Woonfunctie;47m²;52.3607195;4.9025922;house;
"Maarten Jansz Kosterstr 23-2
1017 VZ  AMSTERDAM";Woonfunctie;47m²;52.3607196;4.9025924;house;
"Maarten Jansz Kosterstr 23-3
1017 VZ  AMSTERDAM";Woonfunctie;41m²;52.3607197;4.9025926;house;
"Maarten Jansz Kosterstr 24-1
1017 VZ  AMSTERDAM";Woonfunctie;45m²;52.3607288;4.9026655;house;
"Maarten Jansz Kosterstr 24-2
1017 VZ  AMSTERDAM";Woonfunctie;39m²;52.360729;4.9026656;house;
"Maarten Jansz Kosterstr 24-3
1017 VZ  AMSTERDAM";Woonfunctie;41m²;52.3607292;4.9026657;house;
"Maarten Jansz Kosterstr 25-1
1017 VZ  AMSTERDAM";Woonfunctie;60m²;52.360747;4.9027387;house;
"Maarten Jansz Kosterstr 25-3
1017 VZ  AMSTERDAM";Woonfunctie;57m²;52.3607471;4.9027385;house;
"Amstel 340-1
1017 AS  AMSTERDAM";Woonfunctie;51m²;52.3608284;4.9028406;house;
"Amstel 340-2
1017 AS  AMSTERDAM";Woonfunctie;51m²;52.3608283;4.9028404;house;
"Amstel 340-3
1017 AS  AMSTERDAM";Woonfunctie;51m²;52.3608283;4.9028402;house;
"Amstel 340 H
1017 AS  AMSTERDAM";Overige gebruiksfunctie;230m²;52.3608282;4.90284;house;
"Amstel 342-1
1017 AS  AMSTERDAM";Woonfunctie;41m²;52.3607746;4.9028852;house;
"Amstel 342-2
1017 AS  AMSTERDAM";Woonfunctie;41m²;52.3607746;4.902885;house;
"Amstel 342-3
1017 AS  AMSTERDAM";Woonfunctie;93m²;52.3607746;4.9028848;house;
"Amstel 342 H
1017 AS  AMSTERDAM";Overige gebruiksfunctie;1m²;52.3607746;4.9028846;house;
"Amstel 342 H
1017 AS  AMSTERDAM";Overige gebruiksfunctie;1m²;52.3607746;4.9028846;house;
"Achtergracht 2
1017 WP  AMSTERDAM";Bijeenkomstfunctie;363m²;52.3610468;4.9013114;childcare;Partou
"Achtergracht 14
1017 WP  AMSTERDAM";Kantoorfunctie;4477m²;52.3611294;4.9017363;house;
"Achtergracht 20
1017 WP  AMSTERDAM";Bijeenkomstfunctie;114m²;52.3611744;4.9020043;house;
"Achtergracht 24 A
1017 WP  AMSTERDAM";Woonfunctie;114m²;52.3612032;4.9021427;house;
