date,lesson_time,code,location,size
"Tuesday, 12 November 2024",11:00 - 13:00,6011P0209Y,REC JKB.03,35
"Tuesday, 12 November 2024",13:00 - 15:00,6012B0422Y,REC A0.01,500
"Tuesday, 12 November 2024",11:00 - 13:00,6011P0209Y,REC JKT1.03,35
"Tuesday, 12 November 2024",13:00 - 15:00,6011P0212Y,REC E1.50,15
"Tuesday, 12 November 2024",11:00 - 13:00,6011P0212Y,REC B3.05,15
"Tuesday, 12 November 2024",13:00 - 15:00,6011P0212Y,REC JKK.79,15
"Tuesday, 12 November 2024",11:00 - 13:00,6011P0212Y,REC E1.51,15
"Tuesday, 12 November 2024",13:00 - 15:00,6011P0212Y,REC JKB.18,20
"Tuesday, 12 November 2024",11:00 - 13:00,6011P0212Y,REC JKTB.14,20
"Tuesday, 12 November 2024",13:00 - 15:00,6011P0212Y,REC JKK.82,20
"Tuesday, 12 November 2024",11:00 - 13:00,6011P0212Y,REC JKB.18,20
"Tuesday, 12 November 2024",13:00 - 15:00,6011P0212Y,REC JKTB.14,20
"Tuesday, 12 November 2024",11:00 - 13:00,6011P0212Y,REC JKK.82,20
"Tuesday, 12 November 2024",13:00 - 15:00,6011P0212Y,REC JKB.58,20
"Tuesday, 12 November 2024",11:00 - 13:00,6011P0212Y,REC E0.08,20
"Tuesday, 12 November 2024",13:00 - 15:00,6011P0212Y,REC MS.01,20
"Tuesday, 12 November 2024",11:00 - 13:00,6011P0230Y,REC M0.02,35
"Tuesday, 12 November 2024",13:00 - 15:00,6011P0230Y,REC M0.02,35
"Tuesday, 12 November 2024",11:00 - 13:00,6011P0230Y,REC V1.03,35
"Tuesday, 12 November 2024",13:00 - 15:00,6011P0230Y,REC V1.03,40
"Tuesday, 12 November 2024",11:00 - 13:00,6011P0233Y,REC V1.03,35
"Tuesday, 12 November 2024",13:00 - 15:00,6011P0233Y,REC V1.03,35
"Tuesday, 12 November 2024",11:00 - 13:00,6011P0233Y,REC E0.22 (Active Learning Space),35
"Tuesday, 12 November 2024",13:00 - 15:00,6011P0233Y,REC E0.22 (Active Learning Space),35
"Tuesday, 12 November 2024",11:00 - 13:00,6012B0453Y,Aula - Lutherse Kerk 0.00,420
"Tuesday, 12 November 2024",13:00 - 15:00,6011P0233Y,REC JKB.52,35
"Tuesday, 12 November 2024",15:00 - 17:00,6011P0168Y,REC JKB.46,35
"Tuesday, 12 November 2024",15:00 - 17:00,6011P0168Y,REC E0.14,35
"Tuesday, 12 November 2024",15:00 - 17:00,6011P0168Y,REC E0.15,35
"Tuesday, 12 November 2024",15:00 - 17:00,6012B0371Y,REC M1.01,200
"Tuesday, 12 November 2024",15:00 - 17:00,6011P0283Y,REC JKT1.05,40
"Tuesday, 12 November 2024",15:00 - 17:00,6011P0283Y,REC JK1.90,40
"Tuesday, 12 November 2024",15:00 - 17:00,6011P0283Y,REC E0.04,35
"Tuesday, 12 November 2024",15:00 - 17:00,6011P0206Y,REC JKK.60a,35
"Tuesday, 12 November 2024",15:00 - 17:00,6011P0206Y,REC JKB.03,35
"Tuesday, 12 November 2024",15:00 - 17:00,6011P0209Y,REC JKK.93,35
"Tuesday, 12 November 2024",15:00 - 17:00,6011P0209Y,REC JKT1.03,35
"Tuesday, 12 November 2024",15:00 - 17:00,6011P0212Y,REC M0.01,15
"Tuesday, 12 November 2024",15:00 - 17:00,6011P0212Y,REC E1.50,15
"Tuesday, 12 November 2024",15:00 - 17:00,6011P0212Y,REC E1.51,15
"Tuesday, 12 November 2024",15:00 - 17:00,6011P0212Y,REC JKK.79,15
"Tuesday, 12 November 2024",15:00 - 17:00,6011P0212Y,REC JKB.18,20
"Tuesday, 12 November 2024",15:00 - 17:00,6011P0212Y,REC E0.07,20
"Tuesday, 12 November 2024",15:00 - 17:00,6011P0212Y,REC JKK.82,20
"Tuesday, 12 November 2024",15:00 - 17:00,6011P0212Y,REC JKB.22,20
"Tuesday, 12 November 2024",15:00 - 17:00,6011P0230Y,REC V1.03,35
"Tuesday, 12 November 2024",15:00 - 17:00,6011P0233Y,REC V1.03,35
"Tuesday, 12 November 2024",15:00 - 17:00,6011P0233Y,REC E0.22 (Active Learning Space),35
"Tuesday, 12 November 2024",15:00 - 17:00,6012B0453Y,REC JK1.83,40
"Tuesday, 12 November 2024",15:00 - 17:00,6012B0453Y,REC V0.14,40
"Tuesday, 12 November 2024",15:00 - 17:00,6012B0453Y,REC E0.03 (Active Learning Space),40
"Tuesday, 12 November 2024",17:00 - 19:00,6011P0233Y,REC E0.03 (Active Learning Space),35
"Tuesday, 12 November 2024",17:00 - 19:00,6012B0452Y,REC A0.01,580
"Wednesday, 13 November 2024",09:00 - 11:00,6012B0386Y,REC V0.14,40
"Wednesday, 13 November 2024",09:00 - 11:00,6011P0283Y,REC A0.01,450
"Wednesday, 13 November 2024",09:00 - 11:00,6012B0809Y,REC JKB.03,40
"Wednesday, 13 November 2024",09:00 - 11:00,6011P0206Y,REC JKK.60a,35
"Wednesday, 13 November 2024",09:00 - 11:00,6011P0206Y,REC E0.04,35
"Wednesday, 13 November 2024",09:00 - 11:00,6011P0209Y,REC E0.15,35
"Wednesday, 13 November 2024",09:00 - 11:00,6011P0209Y,REC JKB.46,35
"Wednesday, 13 November 2024",09:00 - 11:00,6011P0212Y,REC C1.05,15
"Wednesday, 13 November 2024",09:00 - 11:00,6011P0212Y,REC E1.51,15
"Wednesday, 13 November 2024",09:00 - 11:00,6011P0212Y,REC C1.07,15
"Wednesday, 13 November 2024",09:00 - 11:00,6011P0212Y,REC L0.02,15
"Wednesday, 13 November 2024",09:00 - 11:00,6011P0212Y,REC C3.03,20
"Wednesday, 13 November 2024",09:00 - 11:00,6011P0212Y,REC E0.07,20
"Wednesday, 13 November 2024",09:00 - 11:00,6011P0230Y,REC V1.03,35
"Wednesday, 13 November 2024",09:00 - 11:00,6011P0230Y,REC JK1.90,35
"Wednesday, 13 November 2024",09:00 - 11:00,6011P0230Y,REC JKK.52,35
"Wednesday, 13 November 2024",09:00 - 11:00,6011P0233Y,REC V2.12,35
"Wednesday, 13 November 2024",09:00 - 11:00,6011P0233Y,REC JKT1.03,35
"Wednesday, 13 November 2024",09:00 - 11:00,6011P0233Y,REC JKT1.05,35
"Wednesday, 13 November 2024",09:00 - 11:00,6011P0233Y,REC JKT1.05,35
"Wednesday, 13 November 2024",09:00 - 11:00,6012B0452Y,REC JKTB.18,40
"Wednesday, 13 November 2024",09:00 - 11:00,6012B0453Y,REC JKTB.22,40
"Wednesday, 13 November 2024",09:00 - 11:00,6012B0453Y,REC E1.17,40
"Wednesday, 13 November 2024",09:00 - 11:00,6012B0453Y,REC JKTB.16,40
"Wednesday, 13 November 2024",11:00 - 12:00,6012B0386Y,REC V0.14,40
"Wednesday, 13 November 2024",12:00 - 14:00,6012B0386Y,REC V0.14,40
"Wednesday, 13 November 2024",14:00 - 15:00,6012B0386Y,REC V0.14,40
"Wednesday, 13 November 2024",11:00 - 13:00,6011P0168Y,REC C1.03,450
"Wednesday, 13 November 2024",13:00 - 15:00,6011P0168Y,REC C1.04,220
"Wednesday, 13 November 2024",11:00 - 13:00,6012B0371Y,REC JK1.83,40
"Wednesday, 13 November 2024",13:00 - 15:00,6012B0371Y,REC JKTB.16,40
"Wednesday, 13 November 2024",11:00 - 13:00,6012B0809Y,REC JKB.03,40
"Wednesday, 13 November 2024",13:00 - 15:00,6012B0371Y,REC JK1.83,40
"Wednesday, 13 November 2024",11:00 - 13:00,6011P0206Y,REC JKK.60a,35
"Wednesday, 13 November 2024",13:00 - 15:00,6012B0809Y,REC JKB.03,40
"Wednesday, 13 November 2024",11:00 - 13:00,6011P0206Y,REC V2.12,35
"Wednesday, 13 November 2024",13:00 - 15:00,6011P0206Y,REC JKK.60a,35
"Wednesday, 13 November 2024",11:00 - 13:00,6011P0209Y,REC E0.15,35
