objectnr;label;linknr;year;name;day;daylv;eveninglv;nightlv;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT
6891;Link 27685;27685;2050;Roetersstraat;5092;271;217;111;LINESTRING(4.9107605 52.3629423,4.9108673 52.362745);LINESTRING(52.3629423 4.9107605,52.362745 4.9108673);4.9108139;52.36284365
6892;Link 27690;27690;2019;Roetersstraat;2718;143;114;58;LINESTRING(4.9111241 52.3623006,4.9108673 52.362745);LINESTRING(52.3623006 4.9111241,52.362745 4.9108673);4.9109957;52.3625228
6893;Link 27690;27690;2025;Roetersstraat;3905;207;165;85;LINESTRING(4.9111241 52.3623006,4.9108673 52.362745);LINESTRING(52.3623006 4.9111241,52.362745 4.9108673);4.9109957;52.3625228
6894;Link 27690;27690;2030;Roetersstraat;4266;227;181;93;LINESTRING(4.9111241 52.3623006,4.9108673 52.362745);LINESTRING(52.3623006 4.9111241,52.362745 4.9108673);4.9109957;52.3625228
6895;Link 27690;27690;2035;Roetersstraat;4481;238;190;97;LINESTRING(4.9111241 52.3623006,4.9108673 52.362745);LINESTRING(52.3623006 4.9111241,52.362745 4.9108673);4.9109957;52.3625228
6896;Link 27690;27690;2040;Roetersstraat;4631;247;197;101;LINESTRING(4.9111241 52.3623006,4.9108673 52.362745);LINESTRING(52.3623006 4.9111241,52.362745 4.9108673);4.9109957;52.3625228
6897;Link 27690;27690;2050;Roetersstraat;5246;280;224;114;LINESTRING(4.9111241 52.3623006,4.9108673 52.362745);LINESTRING(52.3623006 4.9111241,52.362745 4.9108673);4.9109957;52.3625228
6898;Link 27691;27691;2019;Roetersstraat;2719;143;114;58;LINESTRING(4.9111241 52.3623006,4.9112757 52.362024,4.911325 52.3618815);LINESTRING(52.3623006 4.9111241,52.362024 4.9112757,52.3618815 4.911325);4.91122455;52.36209105
6899;Link 27691;27691;2025;Roetersstraat;3905;207;165;85;LINESTRING(4.9111241 52.3623006,4.9112757 52.362024,4.911325 52.3618815);LINESTRING(52.3623006 4.9111241,52.362024 4.9112757,52.3618815 4.911325);4.91122455;52.36209105
6900;Link 27691;27691;2030;Roetersstraat;4266;227;181;93;LINESTRING(4.9111241 52.3623006,4.9112757 52.362024,4.911325 52.3618815);LINESTRING(52.3623006 4.9111241,52.362024 4.9112757,52.3618815 4.911325);4.91122455;52.36209105
6901;Link 27691;27691;2035;Roetersstraat;4481;238;190;97;LINESTRING(4.9111241 52.3623006,4.9112757 52.362024,4.911325 52.3618815);LINESTRING(52.3623006 4.9111241,52.362024 4.9112757,52.3618815 4.911325);4.91122455;52.36209105
6902;Link 27691;27691;2040;Roetersstraat;4631;247;197;101;LINESTRING(4.9111241 52.3623006,4.9112757 52.362024,4.911325 52.3618815);LINESTRING(52.3623006 4.9111241,52.362024 4.9112757,52.3618815 4.911325);4.91122455;52.36209105
6903;Link 27691;27691;2050;Roetersstraat;5246;280;224;114;LINESTRING(4.9111241 52.3623006,4.9112757 52.362024,4.911325 52.3618815);LINESTRING(52.3623006 4.9111241,52.362024 4.9112757,52.3618815 4.911325);4.91122455;52.36209105
6910;Link 27695;27695;2019;Roetersstraat;3416;180;144;74;LINESTRING(4.910889 52.3643783,4.9106217 52.3648954,4.9105906 52.3650571);LINESTRING(52.3643783 4.910889,52.3648954 4.9106217,52.3650571 4.9105906);4.9107398;52.3647177
6911;Link 27695;27695;2025;Roetersstraat;4645;246;197;101;LINESTRING(4.910889 52.3643783,4.9106217 52.3648954,4.9105906 52.3650571);LINESTRING(52.3643783 4.910889,52.3648954 4.9106217,52.3650571 4.9105906);4.9107398;52.3647177
6912;Link 27695;27695;2030;Roetersstraat;4991;265;212;108;LINESTRING(4.910889 52.3643783,4.9106217 52.3648954,4.9105906 52.3650571);LINESTRING(52.3643783 4.910889,52.3648954 4.9106217,52.3650571 4.9105906);4.9107398;52.3647177
6913;Link 27695;27695;2035;Roetersstraat;5143;273;218;112;LINESTRING(4.910889 52.3643783,4.9106217 52.3648954,4.9105906 52.3650571);LINESTRING(52.3643783 4.910889,52.3648954 4.9106217,52.3650571 4.9105906);4.9107398;52.3647177
6914;Link 27695;27695;2040;Roetersstraat;5224;278;222;113;LINESTRING(4.910889 52.3643783,4.9106217 52.3648954,4.9105906 52.3650571);LINESTRING(52.3643783 4.910889,52.3648954 4.9106217,52.3650571 4.9105906);4.9107398;52.3647177
6915;Link 27695;27695;2050;Roetersstraat;5676;302;241;123;LINESTRING(4.910889 52.3643783,4.9106217 52.3648954,4.9105906 52.3650571);LINESTRING(52.3643783 4.910889,52.3648954 4.9106217,52.3650571 4.9105906);4.9107398;52.3647177
20021;Link 204114;204114;2019;Roetersstraat;3406;180;144;74;LINESTRING(4.910786 52.3636496,4.9106623 52.3632744,4.9105997 52.3631753);LINESTRING(52.3636496 4.910786,52.3632744 4.9106623,52.3631753 4.9105997);4.91069285;52.36341245
20022;Link 204114;204114;2025;Roetersstraat;4636;246;196;101;LINESTRING(4.910786 52.3636496,4.9106623 52.3632744,4.9105997 52.3631753);LINESTRING(52.3636496 4.910786,52.3632744 4.9106623,52.3631753 4.9105997);4.91069285;52.36341245
