id,mode,modified,departure,duration,waiting_time,percent_waiting,duration_before
2670,Bike,false,12:26:00.0,372.1475,1,0,0
3642,Bike,false,12:24:00.0,500.3935,0.5,0,0
8692,Walk,false,12:30:00.0,144.8532,0,0,0
2834,Walk,false,12:28:00.0,285.6718,0,0,0
7658,Walk,false,12:07:00.0,1554.7931,0,0,0
6102,Walk,false,12:18:00.0,909.9234,0,0,0
1934,Walk,false,12:20:00.0,817.0322,0,0,0
5832,Walk,false,12:29:00.0,312.3636,0,0,0
8828,Bike,false,12:28:00.0,379.3156,0.5,0,0
9776,Walk,false,12:29:00.0,403.7092,0,0,0
3764,Walk,false,12:31:00.0,285.1368,0,0,0
1684,Walk,false,12:15:00.0,1261.3812,0,0,0
2968,Bike,false,12:27:00.0,543.2446,61.3916,11,0
10122,Walk,false,12:32:00.0,312.7378,0,0,0
5110,Bike,false,12:29:00.0,503.0089,1,0,0
5920,Bike,false,12:31:00.0,383.757,34.939,9,0
8832,Walk,false,12:32:00.0,341.3066,0,0,0
5676,Bike,false,12:31:00.0,401.3956,1.5,0,0
3630,Walk,false,12:20:00.0,1081.4264,0,0,0
5902,Walk,false,12:24:00.0,863.6181,0,0,0
6746,Walk,false,12:32:00.0,397.7259,0,0,0
6030,Walk,false,12:35:00.0,278.4656,0,0,0
4436,Bike,false,12:31:00.0,548.4512,1,0,0
6602,Walk,false,12:28:00.0,730.5812,0,0,0
4920,Walk,false,12:36:00.0,257.7139,0,0,0
4864,Walk,false,12:27:00.0,800.3345,0,0,0
5498,Walk,false,12:28:00.0,755.4675,0,0,0
9084,Walk,false,12:33:00.0,479.5014,0,0,0
664,Walk,false,12:24:00.0,1082.6769,0,0,0
7200,Walk,false,12:32:00.0,638.7406,0,0,0
5848,Walk,false,12:39:00.0,250.4717,0,0,0
1190,Bike,false,12:37:00.0,375.9675,2.5217,0,0
5000,Walk,false,12:37:00.0,391.4331,0,0,0
9674,Bike,false,12:37:00.0,429.4508,0.5,0,0
