id,mode,modified,departure,duration,waiting_time,percent_waiting,duration_before
13000,Bike,false,08:26:00.0,705.9876,21.1304,2,0
12324,Bike,false,08:30:00.0,477.8811,1,0,0
12012,Walk,false,08:33:00.0,302.3933,0,0,0
17790,Bike,false,08:31:00.0,422.9577,4.489,1,0
4366,Walk,false,08:25:00.0,785.1084,0,0,0
12054,Walk,false,08:29:00.0,554.3114,0,0,0
11412,Bike,false,08:34:00.0,256.1927,18.9809,7,0
8120,Walk,false,08:24:00.0,856.8615,0,0,0
5068,Bike,false,08:26:00.0,737.4394,4.389,0,0
17586,Bike,false,08:34:00.0,257.7507,1.2,0,0
15384,Bike,false,08:33:00.0,317.8588,1,0,0
1496,Walk,false,08:25:00.0,799.8408,65.1247,8,0
17378,Bike,false,08:35:00.0,207.4344,29.754,14,0
12318,Bike,false,08:33:00.0,328.0717,4.4425,1,0
11878,Walk,false,08:33:00.0,334.1986,0,0,0
20830,Walk,false,08:36:00.0,160.3128,0,0,0
19678,Bike,false,08:30:00.0,526.2311,2,0,0
18282,Walk,false,08:36:00.0,167.769,0,0,0
16276,Walk,false,08:38:00.0,48.2644,0,0,0
12832,Bike,false,08:34:00.0,290.3636,17.5312,6,0
20644,Bike,false,08:33:00.0,351.3529,16.2334,4,0
10952,Bike,false,08:33:00.0,354.3261,4.4327,1,0
22493,Walk,false,07:58:00.0,2456.5425,53.0641,2,0
13782,Walk,false,08:26:00.0,778.8817,23.6738,3,0
15322,Bike,false,08:34:00.0,311.5881,6.6586,2,0
6530,Walk,false,08:27:00.0,732.2542,0,0,0
3156,Bike,false,08:29:00.0,612.864,4.7836,0,0
10614,Bike,false,08:35:00.0,261.3131,3.223,1,0
20006,Bike,false,08:35:00.0,265.5543,1.406,0,0
10984,Bike,false,08:33:00.0,391.9331,3.6735,0,0
9122,Bike,false,08:35:00.0,276.5551,1.5,0,0
12108,Drive,false,08:33:00.0,396.8926,0.5,0,0
12500,Bike,false,08:36:00.0,221.488,10.925,4,0
20056,Bike,false,08:36:00.0,227.5367,0.5,0,0
21330,Walk,false,08:28:00.0,707.8463,0,0,0
3906,Walk,false,08:23:00.0,1011.964,0,0,0
1808,Walk,false,08:35:00.0,297.8018,0,0,0
15348,Bike,false,08:35:00.0,299.87,4.4501,1,0
17654,Bike,false,08:32:00.0,482.7813,0.5,0,0
1636,Walk,false,08:29:00.0,666.0385,26.5436,3,0
5486,Walk,false,08:26:00.0,846.1818,1.6142,0,0
19370,Bike,false,08:30:00.0,606.6194,3.873,0,0
1494,Walk,false,08:35:00.0,307.7728,0,0,0
17798,Walk,false,08:25:00.0,909.4944,45.4174,4,0
18462,Walk,false,08:18:00.0,1331.773,13.4062,1,0
104,Walk,false,08:26:00.0,854.5682,0,0,0
21536,Bike,false,08:33:00.0,438.5916,6.855,1,0
3024,Walk,false,08:27:00.0,799.7052,7.0952,0,0
21368,Bike,false,08:36:00.0,261.1462,1.0863,0,0
10128,Walk,false,08:30:00.0,624.2431,0.8306,0,0
14062,Walk,false,08:40:00.0,28.3621,0,0,0
19184,Bike,false,08:32:00.0,509.9413,3,0,0
16324,Bike,false,08:36:00.0,271.6128,6.2302,2,0
15958,Bike,false,08:38:00.0,152.4834,1.9869,1,0
10158,Walk,false,08:30:00.0,632.9912,0,0,0
5888,Bike,false,08:33:00.0,456.2745,3.8394,0,0
17978,Bike,false,08:31:00.0,577.3209,3.0932,0,0
16162,Walk,false,08:28:00.0,759.0882,58.9417,7,0
16684,Bike,false,08:34:00.0,399.3355,30.7679,7,0
14022,Bike,false,08:36:00.0,280.6969,2,0,0
15588,Bike,false,08:33:00.0,462.1905,2,0,0
4516,Walk,false,08:27:00.0,822.6258,0,0,0
16562,Bike,false,08:31:00.0,583.48,7.2561,1,0
19792,Bike,false,08:31:00.0,584.1001,5.3592,0,0
17672,Walk,false,08:38:00.0,169.5093,0,0,0
18936,Bike,false,08:32:00.0,529.7084,83.0909,15,0
5968,Bike,false,08:32:00.0,533.5444,29.2165,5,0
13990,Bike,false,08:34:00.0,418.1846,3.5,0,0
14976,Walk,false,08:21:00.0,1198.9061,0,0,0
10188,Walk,false,08:28:00.0,779.0236,0,0,0
18278,Walk,false,08:35:00.0,359.2296,16.9223,4,0
20404,Drive,false,08:34:00.0,419.2871,18.8162,4,0
10590,Walk,false,08:31:00.0,605.4761,38.12,6,0
10492,Walk,false,08:36:00.0,307.3065,14.1732,4,0
13402,Walk,false,08:32:00.0,557.2356,21.2492,3,0
10506,Bike,false,08:34:00.0,438.1689,3.3043,0,0
17074,Walk,false,08:36:00.0,327.2285,0,0,0
186,Bike,false,08:35:00.0,393.5749,2.4294,0,0
18704,Bike,false,08:35:00.0,396.6344,3.0223,0,0
21342,Walk,false,08:28:00.0,817.2431,20.9793,2,0
18430,Walk,false,08:32:00.0,577.3301,34.5502,5,0
19966,Bike,false,08:39:00.0,159.5884,0,0,0
19056,Bike,false,08:34:00.0,460.2252,4.1458,0,0
14832,Walk,false,08:36:00.0,341.1404,0,0,0
16472,Bike,false,08:35:00.0,401.3989,10.0755,2,0
20692,Bike,false,08:34:00.0,466.3711,1.5,0,0
16708,Bike,false,08:36:00.0,348.4985,1.5,0,0
13244,Walk,false,08:31:00.0,650.0462,21.2388,3,0
12740,Walk,false,08:39:00.0,170.9972,0,0,0
16802,Bike,false,08:35:00.0,413.1435,3.5322,0,0
7690,Walk,false,08:28:00.0,837.978,12.9848,1,0
17304,Walk,false,08:40:00.0,124.3124,0,0,0
14390,Bike,false,08:28:00.0,846.6568,6.1774,0,0
13116,Walk,false,08:30:00.0,727.1963,0.5,0,0
4346,Bike,false,08:37:00.0,321.8624,0.8906,0,0
15476,Walk,false,08:29:00.0,805.1222,0,0,0
13804,Bike,false,08:33:00.0,567.0236,2,0,0
18406,Walk,false,08:30:00.0,748.9288,61.9491,8,0
21729,Bike,false,08:35:00.0,449.421,58.2421,12,0
15666,Walk,false,08:35:00.0,450.4545,0,0,0
20488,Walk,false,08:29:00.0,813.3117,0.0599,0,0
3072,Walk,false,08:23:00.0,1174.4465,0,0,0
12520,Bike,false,08:37:00.0,339.7879,53.76,15,0
10350,Bike,false,08:36:00.0,402.0315,67.4687,16,0
4732,Bike,false,08:31:00.0,702.6989,10.6929,1,0
12240,Bike,false,08:36:00.0,405.5425,3,0,0
21725,Bike,false,08:35:00.0,466.9304,5.2185,1,0
14572,Walk,false,08:38:00.0,292.3092,0.1147,0,0
11590,Bike,false,08:39:00.0,233.0812,9.5942,4,0
17208,Walk,false,08:36:00.0,415.1458,0,0,0
6554,Walk,false,08:29:00.0,835.5862,0,0,0
11992,Walk,false,08:33:00.0,595.8313,54.3722,9,0
1100,Walk,false,08:23:00.0,1196.1077,0,0,0
11372,Walk,false,08:29:00.0,836.7764,17.0727,2,0
15882,Walk,false,08:34:00.0,536.8572,0,0,0
14500,Bike,false,08:30:00.0,778.1132,10.7446,1,0
17278,Bike,false,08:36:00.0,418.1936,0.5,0,0
